,url,ean,cat1,cat2,cat3,desc,preco,imagem
3305,https://www.superabc.com.br/7896005804629-cappuc-3-coracoes-baun--pt-200g/p,7896005804629,Mercearia,Matinais,Cafés,CAPPUCCINO 3 CORAÇÕES BAUNILHA PT 200G - UNIDADE,9.49,https://abcemcasa.vteximg.com.br/arquivos/ids/252958-1000-1000/Principal.jpg?v=637002249882600000
3306,https://www.superabc.com.br/7896005800706cafe-3-coracoes-solu-sache-descaf-50g/p,7896005800706,Mercearia,Matinais,Cafés,CAFÉ 3 CORAÇÕES SOLÚVEL SACHE DESCAFÉINADO 50G - UNIDADE,6.99,https://abcemcasa.vteximg.com.br/arquivos/ids/252606-1000-1000/Principal.jpg?v=637002248436470000
3307,https://www.superabc.com.br/7896005800683cafe-3-coracoes-solu-sache-50gr/p,7896005800683,Mercearia,Matinais,Cafés,CAFÉ 3 CORAÇÕES SOLÚVEL  SACHE 50GR - UNIDADE - CAFÉ 3 CORAÇÕES SOLÚVEL SACHE 50GR - UNIDADE,4.59,https://abcemcasa.vteximg.com.br/arquivos/ids/252603-1000-1000/7896005800683.jpg?v=637002248419400000
3308,https://www.superabc.com.br/7896005800850cappuc-3-coracoes-descaf-200g/p,7896005800850,Mercearia,Matinais,Cafés,CAPPUCINO 3 CORAÇÕES DESCAFEINADO 200G - UNIDADE,9.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252975-1000-1000/Principal.jpg?v=637002249970170000
3309,https://www.superabc.com.br/7891025700661-alim-sustain-junior-choc-350g/p,7891025700661,Mercearia,Matinais,Complemento Alimentar,ALIMENTO SUSTAIN JUNIOR CHOCOLATE 350G - UNIDADE,22.9,https://abcemcasa.vteximg.com.br/arquivos/ids/249670-1000-1000/7891025700661.jpg?v=637002215055970000
3310,https://www.superabc.com.br/7896005802373-cappuc-3-coracoes-sache-20g/p,7896005802373,Mercearia,Matinais,Cafés,CAPPUCCINO 3 CORAÇÕES SACHE 20G - UNIDADE,1.49,https://abcemcasa.vteximg.com.br/arquivos/ids/252962-1000-1000/Principal.jpg?v=637002249904730000
3311,https://www.superabc.com.br/7896005802519cappuc-3-coracoes-diet-150g/p,7896005802519,Mercearia,Matinais,Cafés,CAPPUCINO 3 CORACOES DIET 150G - UNIDADE,9.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252978-1000-1000/7896005802519.jpg?v=637002249985970000
3312,https://www.superabc.com.br/7896005800577-cafe-3-coracoes-descaf-250g/p,7896005800577,Mercearia,Matinais,Cafés,CAFÉ 3 CORAÇÕES DESCAFÉINADO 250G - UNIDADE,10.99,https://abcemcasa.vteximg.com.br/arquivos/ids/252582-1000-1000/7896005800577.jpg?v=637002248335870000
3313,https://www.superabc.com.br/7896005804384-cappuc-3-coracoes-pronto-classic-190ml/p,7896005804384,Mercearia,Matinais,Bebidas Lácteas,CAPPUCCINO 3 CORAÇÕES PRONTO CLASSIC 190ML - UNIDADE,3.59,https://abcemcasa.vteximg.com.br/arquivos/ids/252960-1000-1000/Principal.jpg?v=637002249892770000
3314,https://www.superabc.com.br/7896005800140cappuc-3-coracoes-400g/p,7896005800140,Mercearia,Matinais,Cafés,CAPPUCINO 3 CORACOES 400G - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/252968-1000-1000/7896005800140.jpg?v=637002249936030000
3315,https://www.superabc.com.br/7896224836098-achoc-po-chocolatto-sache-700g/p,7896224836098,Mercearia,Matinais,Achocolatados,ACHOCOLATADO PÓ CHOCOLATTO SACHE 700G - UNIDADE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/266004-1000-1000/7896224836098.jpg?v=637002781311030000
3316,https://www.superabc.com.br/7891000101506-leite-po-molico-desnat-280g/p,7891000101506,Mercearia,Matinais,Bebidas Lácteas,LEITE EM PÓ MOLICO DESNATADO 280G - UNIDADE,16.9,https://abcemcasa.vteximg.com.br/arquivos/ids/259717-1000-1000/7891000101506.jpg?v=637002319486100000
3317,https://www.superabc.com.br/7891000090732beb-lactea-neston-280ml/p,7891000090732,Mercearia,Matinais,Bebidas Lácteas,BEBIDA LÁCTEA NESTON 280ML - UNIDADE,4.19,https://abcemcasa.vteximg.com.br/arquivos/ids/251018-1000-1000/7891000090732.jpg?v=637002223448700000
