link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7891361703609-xic-cha-oxford-vrm-200ml/p,7891361703609,Bazar,Casa e Cozinha,Cerâmica,XÍCARA PARA CHÁ OXFORD VERMELHA 200ML - UNIDADE,23.69,https://abcemcasa.vteximg.com.br/arquivos/ids/239381-1000-1000/7891361703609.jpg?v=636935437622600000
https://www.superabc.com.br/7891114048391jg-ferramenta-tramontina-5pc/p,7891114048391,Bazar,Casa e Construção,Ferragens,JOGO FERRAMENTA TRAMONTINA 5PC - UNIDADE,27.69,https://abcemcasa.vteximg.com.br/arquivos/ids/259166-1000-1000/7891114048391.jpg?v=637002310324370000
https://www.superabc.com.br/7897807411138porta-cp-arthi-parede-20-lugares/p,7897807411138,Bazar,Casa e Cozinha,Alumínio e Ferro,PORTA COPO ARTHI PAREDE 20 LUGARES - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265054-1000-1000/7897807411138.jpg?v=637002351818500000
https://www.superabc.com.br/7891010814953-neutrogena-norwegian-s--frag-200ml/p,7891010814953,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,NEUTROGENA NORWEGIAN SEM   FRAG 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263055-1000-1000/7891010814953.jpg?v=637002336614100000
https://www.superabc.com.br/7891361657087-apar-jantar-oxford-beauty-20pc/p,7891361657087,Bazar,Casa e Cozinha,Utensílios,APARELHO JANTAR OXFORD BEAUTY 20PC - UNIDADE,199.9,https://abcemcasa.vteximg.com.br/arquivos/ids/265892-1000-1000/7891361657087.jpg?v=637002780658800000
https://www.superabc.com.br/7891114016161-martelo-tramontina-unha/p,7891114016161,Bazar,Casa e Construção,Ferragens,MARTELO TRAMONTINA UNHA,27.69,https://abcemcasa.vteximg.com.br/arquivos/ids/262409-1000-1000/7891114067248.jpg?v=637002334645630000
https://www.superabc.com.br/7897807410674escorredor-prato-arthi-fantastik/p,7897807410674,Bazar,Casa e Cozinha,Alumínio e Ferro,ESCORREDOR PRATO ARTHI FANTASTIK - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/256233-1000-1000/7897807410674.jpg?v=637002278223400000
https://www.superabc.com.br/7891010720230neutrogena-sun-fresh-facial-fps-60-50ml/p,7891010720230,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,NEUTROGENA SUN FRESH FACIAL FPS 60 50ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/263059-1000-1000/7891010720230.jpg?v=637002336621130000
https://www.superabc.com.br/7891361655441xic-cha-oxford-beauty-1481/p,7891361655441,Bazar,Casa e Cozinha,Cerâmica,XICARÁ CHÁ OXFORD BEAUTY 1481 - UNIDADE,18.9,https://abcemcasa.vteximg.com.br/arquivos/ids/238136-1000-1000/7891361655441.jpg?v=636935433433170000
https://www.superabc.com.br/7891114011074-chave-philips-tramontina-3-16/p,7891114011074,Bazar,Casa e Construção,Ferragens,CHAVE PHILIPS TRAMONTINA 3/16 - UNIDADE,6.69,https://abcemcasa.vteximg.com.br/arquivos/ids/253495-1000-1000/7891114011074.jpg?v=637002252068600000
https://www.superabc.com.br/7897807410063cabide-calca-arthi-triplo/p,7897807410063,Bazar,Casa e Cozinha,Utensílios,CABIDE CALÇA ARTHI TRIPLO - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/252418-1000-1000/7897807410063.jpg?v=637002247668600000
https://www.superabc.com.br/7891010704230-roc-minesol-oil-control-fps-60-50g/p,7891010704230,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,ROC MINESOL OIL CONTROL TINTED FPS60 50G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/248746-1000-1000/7891010704230.jpg?v=636999781636130000
https://www.superabc.com.br/7891361655434prato-sobrem-oxford-beauty/p,7891361655434,Bazar,Casa e Cozinha,Cerâmica,PRATO DE SOBREMESA OXFORD BEAUTY - UNIDADE,12.9,https://abcemcasa.vteximg.com.br/arquivos/ids/265177-1000-1000/7891361655434.jpg?v=637002352217270000
https://www.superabc.com.br/7891114010930-chave-fenda-tramontina-1-4/p,7891114010930,Bazar,Casa e Construção,Ferragens,CHAVE FENDA TRAMONTINA 1/4 - UNIDADE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/253492-1000-1000/7891114010930.jpg?v=637002252056600000
https://www.superabc.com.br/7897807400408-cabide-arthi-c3/p,7897807400408,Bazar,Casa e Cozinha,Utensílios,CABIDE ARTHI C3 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/252416-1000-1000/7897807400408.jpg?v=637002247659700000
https://www.superabc.com.br/7891010591007-prot-neutrogena-sun-fresh-fps-70-200ml/p,7891010591007,Higiene e Beleza,Higiene Pessoal,Produtos para Pele,PROTETOR NEUTROGENA SUN FRESH FPS 70 200ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/265412-1000-1000/7891010591007.jpg?v=637002353041530000
https://www.superabc.com.br/7891361655427prato-fundo-oxford-beauty-1481/p,7891361655427,Bazar,Casa e Cozinha,Utensílios,PRATO FUNDO OXFORD BEAUTY 1481 - UNIDADE,13.99,https://abcemcasa.vteximg.com.br/arquivos/ids/265891-1000-1000/7891361655427.jpg?v=637002780654300000
https://www.superabc.com.br/7891114001266arco-serra-tramontina-fixo-12/p,7891114001266,Bazar,Casa e Construção,Ferragens,ARCO SERRA TRAMONTINA FIXO 12 - UNIDADE,27.69,https://abcemcasa.vteximg.com.br/arquivos/ids/250127-1000-1000/7891114001266.jpg?v=637002216938600000
https://www.superabc.com.br/7897746205140bandeja-mad-tramontina-p--servir/p,7897746205140,Bazar,Casa e Cozinha,Utensílios,BANDEJA MADEIRA TRAMONTINA P/ SERVIR - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250727-1000-1000/7897746205140.jpg?v=637002222155930000
